PlayerID	PlayerName	PlayerTrueName	League	TeamName3	Year	Position	Comment	StartDate	EndDate
201	Haslem	Haslem, Udonis	NBA	MIA	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
203	O'Neal	O'Neal, Shaquille	NBA	CLE	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
204	Wade	Wade, Dwyane	NBA	MIA	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
209	Miller	Miller, Mike	NBA	WAS	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
211	Kapono	Kapono, Jason	NBA	PHI	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
212	D. Jones	Jones, Dahntay	NBA	IND	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
214	Wright	Wright, Dorell	NBA	MIA	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
215	Barron	Barron, Earl	NBA	NYK	2009-2010	5	20100404NYKLAC	2010-04-02	2010-07-01
218	Warrick	Warrick, Hakim	NBA	MIL	2009-2010	4	SeasonStart	2009-10-26	2010-02-18
218	Warrick	Warrick, Hakim	NBA	CHI	2009-2010	4	20100219CHIMIN	2010-02-16	2010-07-01
220	Krstic	Krstic, Nenad	NBA	OKC	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
221	Jefferson	Jefferson, Richard	NBA	SAS	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
222	Kidd	Kidd, Jason	NBA	DAL	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
223	Collins	Collins, Jason	NBA	ATL	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
224	Carter	Carter, Vince	NBA	ORL	2009-2010	2	SeasonStart	2009-10-26	2010-07-01
235	Curry	Curry, Eddy	NBA	NYK	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
236	Blount	Blount, Mark	NBA	MIN	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
237	Richardson	Richardson, Quentin	NBA	MIA	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
239	West	West, Delonte	NBA	CLE	2009-2010	1.8	SeasonStart	2009-10-26	2010-07-01
240	Pierce	Pierce, Paul	NBA	BOS	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
241	Barnes	Barnes, Matt	NBA	ORL	2009-2010	3.2	SeasonStart	2009-10-26	2010-07-01
243	R. Davis	Davis, Ricky	NBA	LAC	2009-2010	2.8	SeasonStart	2009-10-26	2010-02-16
245	Ariza	Ariza, Trevor	NBA	HOU	2009-2010	3	SeasonStart	2009-10-26	2010-07-01
246	Gomes	Gomes, Ryan	NBA	MIN	2009-2010	3.2	SeasonStart	2009-10-26	2010-07-01
247	Jefferson	Jefferson, Al	NBA	MIN	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
249	Crawford	Crawford, Jamal	NBA	ATL	2009-2010	1.4	SeasonStart	2009-10-26	2010-07-01
250	James	James, Jerome	NBA	CHI	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
252	Scalabrine	Scalabrine, Brian	NBA	BOS	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
253	Perkins	Perkins, Kendrick	NBA	BOS	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
254	Robinson	Robinson, Nate	NBA	BOS	2009-2010	1.4	20100223NYKBOS	2010-02-18	2010-07-01
254	Robinson	Robinson, Nate	NBA	NYK	2009-2010	1.4	SeasonStart	2009-10-26	2010-02-18
257	Gooden	Gooden, Drew	NBA	LAC	2009-2010	4.6	20100222CHALAC	2010-02-17	2010-07-01
257	Gooden	Gooden, Drew	NBA	DAL	2009-2010	4.6	SeasonStart	2009-10-26	2010-02-17
258	Ilgauskas	Ilgauskas, Zydrunas	NBA	CLE	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
260	James	James, LeBron	NBA	CLE	2009-2010	3.4	SeasonStart	2009-10-26	2010-07-01
261	Hughes	Hughes, Larry	NBA	NYK	2009-2010	2.6	SeasonStart	2009-10-26	2010-03-13
261	Hughes	Hughes, Larry	NBA	CHA	2009-2010	2.6	20100320CHAMIA	2010-03-13	2010-07-01
265	Pavlovic	Pavlovic, Sasha	NBA	MIN	2009-2010	2.8	SeasonStart	2009-10-26	2010-07-01
266	Wilks	Wilks, Mike	NBA	OKC	2009-2010	1	20091127MILOKC	2009-11-26	2010-07-01
270	Hamilton	Hamilton, Richard	NBA	DET	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
271	Billups	Billups, Chauncey	NBA	DEN	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
272	Prince	Prince, Tayshaun	NBA	DET	2009-2010	3.2	SeasonStart	2009-10-26	2010-07-01
273	Wallace	Wallace, Ben	NBA	DET	2009-2010	4.4	SeasonStart	2009-10-26	2010-07-01
274	Wallace	Wallace, Rasheed	NBA	BOS	2009-2010	4.8	SeasonStart	2009-10-26	2010-07-01
275	McDyess	McDyess, Antonio	NBA	SAS	2009-2010	4.6	SeasonStart	2009-10-26	2010-07-01
276	Evans	Evans, Maurice	NBA	ATL	2009-2010	2.8	SeasonStart	2009-10-26	2010-07-01
277	Arroyo	Arroyo, Carlos	NBA	MIA	2009-2010	1	SeasonStart	2009-10-26	2010-07-01
278	Milicic	Milicic, Darko	NBA	NYK	2009-2010	4.8	SeasonStart	2009-10-26	2010-02-18
278	Milicic	Milicic, Darko	NBA	MIN	2009-2010	4.8	20100221OKCMIN	2010-02-18	2010-07-01
279	Delfino	Delfino, Carlos	NBA	MIL	2009-2010	2.2	SeasonStart	2009-10-26	2010-07-01
280	Maxiell	Maxiell, Jason	NBA	DET	2009-2010	4.4	SeasonStart	2009-10-26	2010-07-01
281	Williams	Williams, Louis	NBA	PHI	2009-2010	1.6	SeasonStart	2009-10-26	2010-07-01
283	Jaric	Jaric, Marko	NBA	MEM	2009-2010	2.4	SeasonStart	2009-10-26	2010-07-01
284	Przybilla	Przybilla, Joel	NBA	POR	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
285	Garnett	Garnett, Kevin	NBA	BOS	2009-2010	4.4	SeasonStart	2009-10-26	2010-07-01
287	Randolph	Randolph, Zach	NBA	MEM	2009-2010	4	SeasonStart	2009-10-26	2010-07-01
289	Telfair	Telfair, Sebastian	NBA	LAC	2009-2010	1	SeasonStart	2009-10-26	2010-02-17
289	Telfair	Telfair, Sebastian	NBA	CLE	2009-2010	1	20100408CLECHI	2010-02-17	2010-07-01
292	Hassell	Hassell, Trenton	NBA	NJN	2009-2010	2.6	SeasonStart	2009-10-26	2010-07-01
296	Jack	Jack, Jarrett	NBA	TOR	2009-2010	1.4	SeasonStart	2009-10-26	2010-07-01
297	Ratliff	Ratliff, Theo	NBA	SAS	2009-2010	5	SeasonStart	2009-10-26	2010-02-18
297	Ratliff	Ratliff, Theo	NBA	CHA	2009-2010	5	20100219CLECHA	2010-02-18	2010-07-01
298	Carter	Carter, Anthony	NBA	DEN	2009-2010	1.4	SeasonStart	2009-10-26	2010-07-01
302	Yao	Ming, Yao	NBA	HOU	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
302	Ming	Ming, Yao	NBA	HOU	2009-2010	5	SeasonStart	2009-10-26	2010-07-01
